Bank_id,in_degree,out_degree,transaction_count,in_degree_sum,out_degree_sum,transaction_sum
16535,59,39,93,6454985.010811999,23756755.170000006,30211740.180812005
344216,0,1,1,0.0,0.05,0.05
32923,0,1,1,0.0,11768.58,11768.58
32926,0,1,1,0.0,1550.55,1550.55
311455,0,1,1,0.0,12594.68,12594.68
344224,0,1,1,0.0,92.64,92.64
49314,2,1,2,69147.97,67672.32,136820.29
32935,0,1,1,0.0,34.4,34.4
344239,0,1,1,0.0,657.22,657.22
32945,0,3,3,0.0,2055.6800000000003,2055.6800000000003
229558,35,19,48,5117162.610034,5383493.84,10500656.450034
32950,0,1,1,0.0,842.19,842.19
32952,0,1,1,0.0,397.46,397.46
327868,0,1,1,0.0,165.04,165.04
344252,0,1,1,0.0,378.76,378.76
32961,0,1,1,0.0,743.61,743.61
32962,0,1,1,0.0,780.48,780.48
32963,0,1,1,0.0,276.73,276.73
327877,1,1,1,6141.79,6141.79,12283.58
311497,0,1,1,0.0,418.6,418.6
16586,88,63,140,2355499.25,2435790.6599999997,4791289.91
210,164,234,367,16178132.579999998,4121939.9000000004,20300072.479999997
211,415,581,911,228825460.99,173765183.04000002,402590644.03000003
212,151,262,384,17548750.11,19847880.938383,37396631.048383
213,300,385,618,560253957.0799999,1058842927.25,1619096884.33
214,289,433,655,457625292.84999996,938973552.02,1396598844.87
32979,0,1,1,0.0,336.69,336.69
32983,0,1,1,0.0,473.27,473.27
217,158,194,319,22620916.0,17534224.1,40155140.1
32978,0,1,1,0.0,309.07,309.07
32982,0,2,2,0.0,305.88,305.88
220,571,1060,1495,39085025.276222,276354817.32204497,315439842.59826696
32989,0,1,1,0.0,179.56,179.56
222,128,166,269,87054119.11,63178247.11000001,150232366.22
223,101,163,243,224911855.081831,72967300.58,297879155.661831
327898,0,1,1,0.0,1575.87,1575.87
225,171,210,323,2453.6874080000002,1709.429092,4163.1165
327906,0,1,1,0.0,187.23,187.23
16606,56,38,87,11111485.51,219162.94,11330648.45
327913,0,1,1,0.0,246.86,246.86
245993,17,2,18,39516153.96,649262.0199999999,40165415.980000004
327917,0,1,1,0.0,111.6,111.6
311536,0,1,1,0.0,26788.51,26788.51
344305,0,2,2,0.0,5014.75,5014.75
229620,33,12,40,76071.81999999999,30454.53,106526.34999999999
33017,0,1,1,0.0,90.56,90.56
33018,0,2,2,0.0,530.83,530.83
131326,36,12,46,648482.19,303999.15,952481.34
33022,0,1,1,0.0,168.29,168.29
16643,54,57,105,2064902.2899999998,173389.23,2238291.52
33033,0,1,1,0.0,173.21,173.21
16649,123,152,259,354933554.68000007,2339980108.7700005,2694913663.450001
147725,9,0,9,20880.710000000003,0.0,20880.710000000003
33038,0,1,1,0.0,1299.44,1299.44
33039,0,1,1,0.0,104.02,104.02
311570,0,1,1,0.0,5507.7,5507.7
33046,0,1,1,0.0,130.0,130.0
287,121,161,265,3955105097.0099998,287558535.33,4242663632.3399997
327969,1,1,1,7695.77,7695.77,15391.54
33057,0,1,1,0.0,694.48,694.48
327973,0,1,1,0.0,669.31,669.31
16678,119,135,239,1745274262.7400002,1659954540.16,3405228802.9000006
49450,4,0,4,6767.030000000001,0.0,6767.030000000001
33073,0,1,1,0.0,608.99,608.99
33075,0,2,2,0.0,89.08,89.08
131380,28,13,39,555061.57,628747.1999999998,1183808.7699999998
327987,0,1,1,0.0,97.45,97.45
344373,0,1,1,0.0,1066.55,1066.55
33079,0,1,1,0.0,0.02,0.02
327992,0,2,2,0.0,313.48,313.48
33081,0,1,1,0.0,213.95,213.95
327995,0,1,1,0.0,765.2,765.2
311615,0,1,1,0.0,30391.4,30391.4
33088,0,2,2,0.0,834.5699999999999,834.5699999999999
311616,0,2,2,0.0,47405.939999999995,47405.939999999995
33092,0,2,2,0.0,184.49,184.49
328006,0,1,1,0.0,983.72,983.72
33100,1,1,1,4587.87,4587.87,9175.74
33101,1,1,1,4454.2,4454.2,8908.4
344401,0,1,1,0.0,693.76,693.76
328025,0,1,1,0.0,714.48,714.48
328028,1,1,1,3081.52,3081.52,6163.04
16733,48,27,72,913327.8400000001,2281828.2800000003,3195156.12
328033,1,1,1,100.82,100.82,201.64
33124,0,1,1,0.0,524.07,524.07
49508,18,7,24,95843.87,17454.99,113298.86
33128,0,2,2,0.0,1364.6599999999999,1364.6599999999999
344425,0,1,1,0.0,1767.96,1767.96
344430,0,1,1,0.0,184.99,184.99
311664,0,1,1,0.0,235.26,235.26
147833,13,1,13,378288.10000000003,9.88,378297.98000000004
311675,0,1,1,0.0,116.46,116.46
328068,0,1,1,0.0,299.69,299.69
311686,0,1,1,0.0,120509.27,120509.27
33160,1,1,1,2154.89,2154.89,4309.78
131466,29,9,36,1413931.39,899487.22,2313418.61
328074,0,1,1,0.0,284.07,284.07
344463,0,1,1,0.0,0.01,0.01
246162,26,9,33,17162381.03,4097646.4,21260027.43
16787,110,110,207,186845440.68000004,2918833840.99,3105679281.6699996
33172,1,1,1,44.57,44.57,89.14
16788,85,72,147,81339189.3,65859298.620000005,147198487.92000002
311701,0,1,1,0.0,0.13,0.13
147863,11,3,12,140928.31,16334.58,157262.88999999998
16792,113,105,208,1346523001.62,2569597431.8800006,3916120433.5000005
33177,0,1,1,0.0,1400.78,1400.78
410,230,457,653,86977199.83983101,82374027.22,169351227.05983102
33178,0,1,1,0.0,365.01,365.01
344476,0,1,1,0.0,107.74,107.74
311710,0,1,1,0.0,246.88,246.88
328095,0,1,1,0.0,361.35,361.35
344485,0,2,2,0.0,2634.35,2634.35
229799,22,4,23,651415.13,194516.04,845931.17
147879,7,2,7,22169.96,10088.36,32258.32
328109,0,1,1,0.0,69.22,69.22
328110,0,1,1,0.0,103.89,103.89
147885,8,1,9,8457.970000000001,594.12,9052.090000000002
33200,0,1,1,0.0,1774.97,1774.97
311734,0,1,1,0.0,107.5,107.5
328119,0,1,1,0.0,151.45,151.45
33209,0,1,1,0.0,139.49,139.49
311737,0,1,1,0.0,573.42,573.42
33213,0,1,1,0.0,91.27,91.27
311742,1,1,1,1529.5,1529.5,3059.0
311743,0,2,2,0.0,537.9300000000001,537.9300000000001
33221,1,1,1,1964.88,1964.88,3929.76
147912,2,0,2,8046.33,0.0,8046.33
33229,0,1,1,0.0,49.24,49.24
328142,1,1,1,22116.39,22116.39,44232.78
311758,1,1,1,2247.74,2247.74,4495.48
16847,67,51,113,14109852.269173,1411200.9299999997,15521053.199173
33235,0,1,1,0.0,56.9,56.9
33239,0,2,2,0.0,645.95,645.95
328151,0,1,1,0.0,346.1,346.1
328153,0,2,2,0.0,7088.35,7088.35
33242,0,2,2,0.0,645.8399999999999,645.8399999999999
115159,61,29,84,555026.17,62522733.150000006,63077759.32000001
328156,0,1,1,0.0,733.99,733.99
33245,21,8,25,5465620.609999999,71628.9,5537249.51
311769,0,1,1,0.0,24470.91,24470.91
344542,0,1,1,0.0,143.8,143.8
328161,0,3,3,0.0,2152.12,2152.12
328164,0,1,1,0.0,562.5,562.5
16871,84,58,132,41175376.80387499,1763771.81,42939148.613874994
33264,26,3,27,2557496.59,43091.28,2600587.8699999996
344561,1,1,1,170946.99,170946.99,341893.98
344570,1,1,1,7700.66,7700.66,15401.32
49659,11,2,12,7684.71,1158.53,8843.24
344572,0,1,1,0.0,45972.85,45972.85
513,228,332,531,118194057.31,3502219681.0213714,3620413738.3313713
328194,0,1,1,0.0,351.59,351.59
33285,0,1,1,0.0,454.13,454.13
246279,9,1,10,18238.29,37924.95,56163.24
344589,0,1,1,0.0,143.99,143.99
328206,1,1,1,140.1,140.1,280.2
328208,1,1,1,70121.69,70121.69,140243.38
33296,1,1,1,29867.84,29867.84,59735.68
16388,80,72,139,6992336.06,2024642.01,9016978.07
33302,0,1,1,0.0,55.2,55.2
33303,0,1,1,0.0,99.88,99.88
33304,0,1,1,0.0,269.69,269.69
344600,1,1,1,21572.64,21572.64,43145.28
33308,0,1,1,0.0,296.94,296.94
311836,0,1,1,0.0,383.99,383.99
328222,1,1,1,183087.77,183087.77,366175.54
344606,0,1,1,0.0,175181.32,175181.32
16927,91,58,139,19279540311.380005,2122753616.5399997,21402293927.920006
344607,0,1,1,0.0,1054.93,1054.93
328226,0,1,1,0.0,2242.44,2242.44
33314,0,1,1,0.0,55.22,55.22
33315,1,1,1,13879.08,13879.08,27758.16
328229,0,1,1,0.0,517.86,517.86
311841,0,1,1,0.0,248.23,248.23
311839,0,1,1,0.0,449.54,449.54
344611,1,1,1,10447.83,10447.83,20895.66
311848,0,1,1,0.0,79.2,79.2
16941,73,56,115,28763608.31,3699520.6499999994,32463128.959999997
328239,1,1,1,7180.9,7180.9,14361.8
33328,0,2,2,0.0,150.31,150.31
229937,12,2,13,19966.81,790.94,20757.75
148016,91,78,157,2606455626.3299994,11201378.11,2617657004.4399996
115249,68,29,87,3048605.96,2809319.01,5857924.97
344626,0,1,1,0.0,55.15,55.15
311858,0,1,1,0.0,0.05,0.05
328248,0,1,1,0.0,4952.9,4952.9
33343,1,1,1,48001.41,48001.41,96002.82
49728,5,2,5,369.08,39.05,408.13
311874,0,1,1,0.0,24908.43,24908.43
311877,0,1,1,0.0,633.02,633.02
33355,18,8,23,1293899.9100000001,11927181.84,13221081.75
213580,68,32,92,6159620.78,2304082.3899999997,8463703.17
49750,7,1,7,16015.32,2333.4,18348.72
344665,0,1,1,0.0,95.37,95.37
246363,20,4,21,9420586.620000003,35.309999999999995,9420621.930000003
16991,73,54,123,602063.36,1363241.86,1965305.2200000002
33377,0,1,1,0.0,139.11,139.11
311908,0,1,1,0.0,24217.8,24217.8
131687,14,6,19,55499.74,109807.66,165307.4
328295,1,1,1,417.71,590.14,1007.8499999999999
33388,1,1,1,22.04,22.04,44.08
33389,19,7,24,447584.46,140396.47,587980.93
328302,1,1,1,9017.3,9017.3,18034.6
49780,6,1,6,57337.369999999995,989.85,58327.219999999994
33398,0,1,1,0.0,240.7,240.7
33399,0,1,1,0.0,209.54,209.54
33400,0,1,1,0.0,0.01,0.01
344699,0,1,1,0.0,420.68,420.68
33405,1,1,1,1327.21,1327.21,2654.42
344705,0,1,1,0.0,423.58,423.58
344714,0,1,1,0.0,4766.04,4766.04
33426,22,11,31,218440.24000000002,196506.47999999998,414946.72
311954,0,1,1,0.0,30866.09,30866.09
344722,0,1,1,0.0,1617.88,1617.88
33429,0,2,2,0.0,815.12,815.12
328342,0,1,1,0.0,1099.68,1099.68
33433,0,1,1,0.0,105.89,105.89
33435,0,1,1,0.0,328.15,328.15
115359,74,34,106,120180788.19999999,18072278.65,138253066.85
311968,0,1,1,0.0,78692.95,78692.95
344737,0,1,1,0.0,427.26,427.26
115363,53,28,75,26951647.77,612283.12,27563930.89
311971,0,1,1,0.0,2530.07,2530.07
328357,0,1,1,0.0,512.73,512.73
33448,0,1,1,0.0,3984.2,3984.2
344744,0,1,1,0.0,1553.86,1553.86
33451,0,1,1,0.0,153.84,153.84
344749,0,1,1,0.0,806.56,806.56
33456,23,9,30,1205542.4599999997,4652620.95,5858163.41
33461,0,1,1,0.0,619.67,619.67
33465,1,1,1,3363.32,3363.32,6726.64
701,197,340,511,2808458947.760001,86894672.41000001,2895353620.170001
148159,10,2,10,3672.5800000000004,28.990000000000002,3701.57
344768,0,1,1,0.0,498.4,498.4
213704,76,45,114,19595968.669999998,2789477.39,22385446.06
328393,1,2,2,4686.19,24015.789999999997,28701.979999999996
33486,0,1,1,0.0,18.81,18.81
49871,10,0,10,169636.29,0.0,169636.29
33495,0,1,1,0.0,178.01,178.01
131800,27,9,31,319057.20999999996,154914.24,473971.44999999995
33497,0,1,1,0.0,60.01,60.01
328410,0,1,1,0.0,61.11,61.11
115415,49,20,64,1551141.18,4932291.059999999,6483432.239999998
131808,25,8,31,3340602.16,118355.81000000001,3458957.97
328417,0,1,1,0.0,235.38,235.38
17120,75,44,111,2975928901.9999995,168652639.73000005,3144581541.7299995
213737,76,58,124,1459263948.3300002,480274798.42999995,1939538746.7600002
33521,1,1,1,5433.7,5433.7,10867.4
328436,0,1,1,0.0,241.11,241.11
312052,0,1,1,0.0,21658.46,21658.46
148212,6,1,6,50230.829999999994,45941.1,96171.93
312055,0,1,1,0.0,19839.28,19839.28
33535,1,1,1,2591.36,2591.36,5182.72
33537,1,1,1,134.14,134.14,268.28
33543,0,1,1,0.0,64.9,64.9
328462,0,1,1,0.0,1206.3,1206.3
33552,1,1,1,8013.37,8013.37,16026.74
344850,1,1,1,110666.05,110666.05,221332.1
33558,0,1,1,0.0,96.6,96.6
17174,48,17,63,1001629.6900000002,39042.26,1040671.9500000002
795,247,316,535,147793201.800032,1050902962.28,1198696164.0800319
328478,0,1,1,0.0,6940.86,6940.86
33567,0,1,1,0.0,114.81,114.81
328485,0,1,1,0.0,6061.2,6061.2
33574,0,1,1,0.0,5869.37,5869.37
33581,1,1,1,1738.54,1738.54,3477.08
49968,7,0,7,646437.52,0.0,646437.52
246581,10,7,15,41527.3,73677.18,115204.48
33594,0,1,1,0.0,2376.53,2376.53
328507,0,1,1,0.0,10589.62,10589.62
328509,0,1,1,0.0,297.36,297.36
328517,1,1,1,9427.14,9427.14,18854.28
17222,90,73,155,819365.5399999999,21759615.51,22578981.05
33609,0,1,1,0.0,450.63,450.63
49994,3,1,3,4632.7300000000005,9.43,4642.160000000001
312143,0,1,1,0.0,3474.61,3474.61
33617,0,1,1,0.0,115.98,115.98
328529,0,1,1,0.0,501.88,501.88
328531,0,1,1,0.0,452.07,452.07
33619,0,1,1,0.0,290.71,290.71
33621,1,1,1,5472.85,5472.85,10945.7
230230,22,9,25,3222050.43,1929309.23,5151359.66
312148,0,1,1,0.0,113.25,113.25
131928,16,8,22,239550.0,206756.52,446306.52
328537,1,1,1,107.82,178.5,286.32
50012,5,0,5,21016.15,0.0,21016.15
33629,0,1,1,0.0,3715.98,3715.98
17246,58,23,76,1428654.1900000002,265270.06,1693924.2500000002
50016,6,0,6,101718.84999999999,0.0,101718.84999999999
33635,0,1,1,0.0,66.46,66.46
344932,0,1,1,0.0,31.66,31.66
33637,0,3,3,0.0,1104.94,1104.94
312166,0,1,1,0.0,73267.5,73267.5
33641,0,1,1,0.0,25.9,25.9
312169,0,1,1,0.0,0.11,0.11
33644,0,2,2,0.0,162.08999999999997,162.08999999999997
33647,0,1,1,0.0,99.89,99.89
344943,0,1,1,0.0,175.22,175.22
230257,29,10,36,1412457.93,465522.60000000003,1877980.53
33652,0,4,4,0.0,406.02,406.02
312181,0,1,1,0.0,164.12,164.12
328568,2,2,2,8402.9,8402.9,16805.8
33657,0,1,1,0.0,391.27,391.27
148348,49,41,86,287658648.09,70212008.04009901,357870656.130099
148350,56,20,71,20070642.45,5214266.28,25284908.73
328575,0,1,1,0.0,408.44,408.44
33671,1,1,1,621.19,621.19,1242.38
328584,1,1,1,5968.54,5968.54,11937.08
344969,0,1,1,0.0,63.6,63.6
312201,0,1,1,0.0,276528.59,276528.59
908,204,305,476,48609090.79,74703312.28,123312403.07
328588,1,1,1,633.81,633.81,1267.62
33678,0,2,2,0.0,360.78999999999996,360.78999999999996
312209,1,1,1,8240.7,8240.7,16481.4
328594,0,1,1,0.0,70.16,70.16
312212,1,1,1,462079.89,462079.89,924159.78
33687,0,1,1,0.0,87.77,87.77
312217,0,1,1,0.0,178241.4,178241.4
312218,0,3,3,0.0,48076.770000000004,48076.770000000004
328608,0,2,2,0.0,589.6600000000001,589.6600000000001
148389,59,28,82,8177514.600000002,8659899.68,16837414.28
33702,0,1,1,0.0,225.52,225.52
312232,0,1,1,0.0,1382.84,1382.84
17321,88,46,130,37296863.66000001,1097758.3800000004,38394622.040000014
33706,1,1,1,11.5,11.5,23.0
33707,1,2,2,1684.9,1996.75,3681.65
312238,0,1,1,0.0,245.49,245.49
17327,85,81,157,19594634.05,4821838.799999999,24416472.85
328624,1,1,1,1649.5,1649.5,3299.0
345007,0,2,2,0.0,4208.31,4208.31
33715,1,1,1,2073.64,2073.64,4147.28
312246,0,1,1,0.0,5284.59,5284.59
33719,0,1,1,0.0,389.14,389.14
312247,1,1,1,28680.62,28680.62,57361.24
33721,0,1,1,0.0,270.63,270.63
115642,10,1,11,491553102.17,316975.89,491870078.06
328635,0,1,1,0.0,1788.76,1788.76
33723,0,1,1,0.0,426.4,426.4
33727,74,33,101,131245729.45000002,44340786.78,175586516.23000002
312255,0,1,1,0.0,351.39,351.39
213952,77,33,102,2746077.72,1735748.4300000004,4481826.15
345025,1,1,1,88.45,88.45,176.9
50118,1,0,1,82.84,0.0,82.84
115656,64,13,73,1332215.61,86214.57,1418430.1800000002
345033,0,1,1,0.0,3428.21,3428.21
33739,40,28,63,2880457.0300000003,1162939.92,4043396.95
33741,1,1,1,811.81,811.81,1623.62
33750,43,23,62,21404621.060000002,2709860.5300000003,24114481.590000004
33751,0,1,1,0.0,606.49,606.49
328662,0,1,1,0.0,352.23,352.23
33752,0,1,1,0.0,254.6,254.6
32760,0,2,2,0.0,872.5,872.5
328667,0,1,1,0.0,507.23,507.23
312284,0,1,1,0.0,41298.15,41298.15
246748,18,0,18,2185709.18,0.0,2185709.18
33758,0,1,1,0.0,84.64,84.64
33759,43,21,62,36983219.309999995,30257431.25,67240650.56
115678,20,6,25,43438462.76,687860.27,44126323.03
33761,0,1,1,0.0,341.06,341.06
312289,0,1,1,0.0,10807.56,10807.56
345060,0,1,1,0.0,1976.01,1976.01
312293,0,1,1,0.0,27030.87,27030.87
33766,1,1,1,1107.75,1107.75,2215.5
33769,0,2,2,0.0,329.73,329.73
33770,0,1,1,0.0,0.01,0.01
312299,0,1,1,0.0,203221.16,203221.16
33772,0,1,1,0.0,3014.11,3014.11
328685,0,1,1,0.0,590.2,590.2
33774,0,1,1,0.0,832.64,832.64
115693,11,2,12,9789085.780000001,9494890.16,19283975.94
328690,1,1,1,3417.4,3417.4,6834.8
33780,19,12,28,4103847.9899999998,28736.410829000004,4132584.400829
115700,87,39,119,227338220.42999998,7887833.950000001,235226054.37999997
328695,0,1,1,0.0,872.76,872.76
33783,0,1,1,0.0,58.63,58.63
33785,0,2,2,0.0,1821.27,1821.27
17400,58,38,90,3026350.08,259507.55000000002,3285857.63
17401,70,39,101,12280602.79,1423973.19,13704575.979999999
33789,2,2,2,8169.72,8169.72,16339.44
1024,177,260,415,8154207.72,14060066.21,22214273.93
33793,0,1,1,0.0,135.48,135.48
345092,1,1,1,4293.5,4293.5,8587.0
246789,6,2,7,86663.92,105.79,86769.70999999999
312327,0,1,1,0.0,2076.81,2076.81
33806,0,1,1,0.0,1009.37,1009.37
17425,106,61,159,4667635.819999999,17990884.91,22658520.73
115732,9,4,13,4850272.399999999,33777224.78,38627497.18
1047,193,254,422,44062817.39,78592057.40000202,122654874.79000202
33816,0,1,1,0.0,142.68,142.68
50202,27,5,31,719235.93,27299.61,746535.54
312349,0,2,2,0.0,717.8,717.8
33822,0,2,2,0.0,849.49,849.49
312353,0,1,1,0.0,398.48,398.48
214050,67,29,85,407636896.86999995,65429016.989999995,473065913.85999995
33828,0,1,1,0.0,157.7,157.7
328740,1,1,1,4157.18,4157.18,8314.36
33833,1,1,1,1752.71,1752.71,3505.42
1068,183,293,458,25183504.7,6961856.74,32145361.439999998
345133,0,1,1,0.0,1284.33,1284.33
312367,1,1,1,3288.56,3288.56,6577.12
33840,1,1,1,606.84,606.84,1213.68
33846,0,3,3,0.0,186.91,186.91
33848,0,1,1,0.0,250.83,250.83
345148,0,1,1,0.0,752.2,752.2
33855,0,1,1,0.0,103.87,103.87
148543,8,4,10,348957.37,323389.01,672346.38
312383,0,2,2,0.0,1442.2,1442.2
33864,0,1,1,0.0,2180.9,2180.9
115784,9,3,11,2214148.9799999995,30807.15,2244956.1299999994
345160,0,1,1,0.0,179.0,179.0
33872,35,18,49,26592150.429999996,16177860.86,42770011.28999999
33873,23,17,38,1796780.6500000001,1109560714.99,1111357495.64
50257,4,1,4,167151.88,144534.83,311686.70999999996
17491,53,16,66,360409965.62,29319581.810000002,389729547.43
214100,55,24,70,3630379.0499999993,1673650.8,5304029.85
33877,1,1,1,3370.57,3370.57,6741.14
345172,0,1,1,0.0,0.01,0.01
328792,0,1,1,0.0,451.17,451.17
328793,0,1,1,0.0,30.63,30.63
345176,0,1,1,0.0,3474.19,3474.19
33883,0,2,2,0.0,531.81,531.81
33884,31,12,39,2009752.7600000002,2276564.3899999997,4286317.15
115803,24,6,25,1633405659.77,592673319.14,2226078978.91
33888,0,1,1,0.0,265.48,265.48
32787,0,1,1,0.0,294.01,294.01
1124,154,227,364,9018416.18,21963311.290000003,30981727.470000003
33894,0,1,1,0.0,3296.24,3296.24
33895,0,1,1,0.0,231.78,231.78
345193,0,1,1,0.0,1203.48,1203.48
148586,57,19,72,65437424.63,1409873.5,66847298.13
33899,0,1,1,0.0,445.69,445.69
1132,145,195,305,574857498.14,231756302.71999997,806613800.8599999
312427,0,1,1,0.0,50.44,50.44
246894,15,4,17,29119.479999999996,14166.829999999998,43286.31
33908,0,1,1,0.0,88.93,88.93
345205,1,1,1,17103.39,17103.39,34206.78
246909,8,3,11,14319.400000000001,264.32,14583.720000000001
33920,1,1,1,13958.56,13958.56,27917.12
312448,0,1,1,0.0,168.11,168.11
312450,1,1,1,5349.76,5349.76,10699.52
33923,1,1,1,57154.72,57154.72,114309.44
312451,0,1,1,0.0,539.05,539.05
312454,0,1,1,0.0,1844.33,1844.33
33928,1,1,1,5244.74,5244.74,10489.48
17554,54,31,80,524731615.58999985,25788823.719999995,550520439.3099998
33944,0,1,1,0.0,320.06,320.06
328857,0,1,1,0.0,756.9,756.9
312480,1,1,1,4870.69,4870.69,9741.38
230562,1,1,1,10537.09,10537.09,21074.18
33962,0,1,1,0.0,0.01,0.01
328877,1,1,1,27372.22,27372.22,54744.44
1198,132,242,351,16617582.39,47775714.05,64393296.44
345263,0,1,1,0.0,1069.41,1069.41
33968,0,1,1,0.0,191.09,191.09
312497,1,1,1,6209.56,6209.56,12419.12
33973,0,1,1,0.0,306.77,306.77
33980,0,1,1,0.0,288.51,288.51
