Bank_id,in_degree,out_degree,transaction_count,in_degree_sum,out_degree_sum,transaction_sum,money_laundering_fraction
1199,6961,10181,15998,4358140322.252317,7383757252.57207,11741897574.824387,0.0003125390673834229
1217,16466,33649,47727,24459597860.08149,33251425659.250095,57711023519.33159,0.0015923900517526767
132300,2427,1541,3647,22714030790.31,27239703288.6,49953734078.91,0.0
1231,15058,30786,43372,15633725143.978912,17791547791.51129,33425272935.490204,0.000991423037904639
1277,11294,16246,26072,5812874662.560286,7435993615.82456,13248868278.384846,0.0007671064743786437
263431,6296,5363,11004,5373757923.290001,11093111973.113613,16466869896.403614,0.0005452562704471102
1291,13870,26437,38325,7163528340.244313,8953117431.328596,16116645771.57291,0.001121983039791259
132407,2095,845,2738,19497476635.08,5238940119.42,24736416754.5,0.0007304601899196494
132425,2141,876,2796,26128565733.48056,4074360732.37,30202926465.85056,0.000715307582260372
132448,2106,809,2668,58950395077.69,4730719965.37,63681115043.060005,0.0
1390,11434,15501,25452,3118923508.91008,4470488735.730784,7589412244.640864,0.00055005500550055
1394,13077,24281,35377,4898191949.893003,12529322763.963003,17427514713.856007,0.0013002798428357408
263549,446,129,525,33050032.05,24259230.589999996,57309262.64,0.0
132480,1871,796,2484,304876113.57,817364664.54,1122240778.11,0.0
132483,1932,747,2500,132761635.39999999,18562154.1,151323789.5,0.0012
1422,13191,24566,35833,18729227711.309288,16182859130.257244,34912086841.56653,0.0010883822175090001
263574,5869,4245,9475,5850194733.879999,3665513268.73,9515708002.609999,0.000316622691292876
1439,11285,15504,25178,7716946924.152685,7714654098.89817,15431601023.050856,0.0011915164032091508
263625,353,60,376,465288230.34,3757840.99,469046071.33,0.0
132556,1428,627,1891,13233922237.28,26724194702.199997,39958116939.479996,0.0005288207297726071
263707,318,65,344,1824093232.37,861100.2099999998,1824954332.58,0.0
1595,13563,23470,35138,15347301522.991344,21606961745.49627,36954263268.48761,0.0013945016790938584
1638,10245,13321,22350,9929226479.317987,10829543085.426613,20758769564.7446,0.0006711409395973154
1639,12256,22224,32721,143807853772.33002,147414133309.28043,291221987081.6105,0.0004584211973961676
132776,726,158,785,4664935311.080001,534952018.9,5199887329.9800005,0.0012738853503184713
1720,12980,20490,31728,2375859084.386868,5343108426.254717,7718967510.641584,0.0006303580433686334
1768,13097,20203,31742,2276734858.510397,3974179432.894596,6250914291.404993,0.0006930880221788167
1776,13205,19856,31419,3583014350.532225,13350741258.013622,16933755608.545847,0.000827524746172698
132849,718,143,795,1361924041.68,428999195.53999996,1790923237.22,0.0
1807,10221,12321,21309,17233669525.57277,20990528251.169308,38224197776.74208,0.00014078558355624384
1812,10853,13581,23070,4606105867.209751,4172979594.865316,8779085462.075068,0.0006501950585175553
132899,562,121,631,41325277260.52,385075153.77000004,41710352414.28999,0.0
1835,12396,20394,30821,27682963219.046986,26773569774.433033,54456532993.48002,0.0010382531390934753
1889,9674,12499,20918,11023968247.520155,13886069015.476816,24910037262.99697,0.00047805717563820634
133044,2329,882,2977,878586088.2601631,108212320.560163,986798408.8203261,0.0003359086328518643
264122,535,120,603,93740049.07,18551513.459999993,112291562.52999999,0.0
264152,5448,2862,7814,6798783850.109346,1189213207.3000002,7987997057.409347,0.0003839262861530586
133159,5650,5828,10382,784729106.12,665484190.88,1450213297.0,0.00038528221922558276
2175,9112,10684,18735,3763068259.41,5193798430.932688,8956866690.342688,0.0005871363757672805
2196,9694,11007,19584,2309571262.5903506,2145408678.8103502,4454979941.400701,0.0005106209150326798
2293,9980,13160,21888,1569687387.76898,3226726470.9125633,4796413858.681543,0.0010964912280701754
133372,3872,3530,6913,2292786379.28961,188283996.09000003,2481070375.37961,0.0004339649934905251
264481,305,47,322,28748861.939999998,26612249.870000005,55361111.81,0.003105590062111801
2368,9158,10674,18751,1729708143484.3938,1749410942439.5396,3479119085923.9336,0.0004799744013652605
264536,444,139,535,22920901.74,3893270.4499999997,26814172.189999998,0.0
264554,269,29,279,4730132.09,1549812.3599999999,6279944.449999999,0.0
133530,1985,731,2451,1229428309.6122,274863810.19,1504292119.8022,0.0
133539,2214,966,2963,1332978233.4637249,105383458.273725,1438361691.73745,0.0006749915626054674
264643,455,90,503,6103704.18,1389878.4399999997,7493582.619999999,0.0
2514,13667,24441,36154,2859966811.1881914,2892719789.622448,5752686600.810639,0.0005531891353653814
2545,8939,9995,17933,2344304214.640024,2530425641.390024,4874729856.030048,0.0002788155913678693
133620,2266,1147,3137,307136386.63223803,415390730.770328,722527117.402566,0.000637551801083838
2557,10421,12711,21942,438844792184.76,445006867902.1891,883851660086.9491,0.0011849421201349012
133674,1919,692,2433,974384093.076024,56769195.94999999,1031153289.0260241,0.0008220304151253596
264772,4123,2293,5929,1996477191.6182199,1970433785.6,3966910977.2182198,0.0011806375442739079
264834,172,27,179,2338361.38,609442.05,2947803.4299999997,0.0
2692,8714,10288,17923,3841842155.0755954,1364226413.013967,5206068568.089562,0.0005021480778887463
264845,434,122,509,25533445.4,12061130.75,37594576.15,0.0
264855,276,79,317,4062153.5799999996,2877251.6799999997,6939405.26,0.0
133903,1937,644,2396,666669336.13,178473810.76000002,845143146.89,0.00041736227045075126
133915,2177,1122,3072,472105291.10990596,188168555.71999997,660273846.829906,0.0006510416666666666
2860,13258,20549,32124,5718381596.637726,5384891277.476611,11103272874.114338,0.0005914580998630307
133936,2326,1649,3595,452878002.12,449127376.03999996,902005378.16,0.0002781641168289291
134019,2068,851,2703,152482411.15003502,71855249.070035,224337660.22007,0.0007399186089530152
134053,2241,1008,3009,501060197.36,141989982.32999998,643050179.69,0.00033233632436025255
134085,2196,1136,3091,560811885.1800001,205621361.5,766433246.6800001,0.00032351989647363315
265175,3223,1371,4308,4222787650.4900002,1164908773.44,5387696423.93,0.00046425255338904364
134113,1860,923,2567,286493850.05002004,42518693.44002,329012543.49004006,0.0007791195948578107
265216,2684,1138,3554,1901905245.49,1509062118.7600002,3410967364.25,0.0002813731007315701
3100,7470,7974,14498,2610466266.9500003,3570630783.7847037,6181097050.734704,0.00034487515519381984
265268,354,72,383,14593994.53,4549535.67,19143530.2,0.0026109660574412533
134241,2102,746,2651,620422414.1498499,30702040.43,651124454.5798498,0.001131648434552999
3193,0,44,44,0.0,10682.18,10682.18,0.0
3195,0,72,72,0.0,22822.600000000002,22822.600000000002,0.0
3198,15,17,17,90035.44,97519.77999999998,187555.21999999997,0.0
3200,23,27,27,102876.84999999999,134609.87000000002,237486.72000000003,0.0
3201,0,58,58,0.0,19602.179999999997,19602.179999999997,0.0
3202,8038,8596,15729,2030307178.162895,4455626527.43,6485933705.5928955,0.0013986903172483946
3208,24,31,31,241445.68999999997,287887.36,529333.0499999999,0.0
3209,31,35,35,203544.75,248481.53999999998,452026.29,0.0
3210,19,24,24,104281.61,164266.93999999997,268548.55,0.0
3211,0,42,42,0.0,10924.539999999999,10924.539999999999,0.0
3214,22,26,26,238245.70999999996,242617.93,480863.63999999996,0.0
3218,0,63,63,0.0,25534.59,25534.59,0.0
3221,11,15,15,146718.83,184720.36000000002,331439.19,0.0
3224,17,22,22,108519.12000000001,168843.5000000001,277362.6200000001,0.0
3225,21,25,25,263096.45999999996,280027.91,543124.3699999999,0.0
3227,0,60,60,0.0,18340.6,18340.6,0.0
3229,19,22,22,162075.97000000003,220581.25000000006,382657.2200000001,0.0
3230,15,19,19,146208.02000000002,178318.53,324526.55000000005,0.0
3231,0,62,62,0.0,13650.919999999998,13650.919999999998,0.0
3232,28,33,33,220747.61000000002,232977.28,453724.89,0.0
3233,15,19,19,133608.08,177777.51,311385.58999999997,0.0
3234,15,21,21,136128.15,147682.80999999997,283810.95999999996,0.0
3235,18,27,27,92599.33,170655.94999999998,263255.27999999997,0.0
3237,0,68,68,0.0,111072.58999999998,111072.58999999998,0.0
3240,2,51,51,300.48,6191.160000000001,6491.640000000001,0.0
3242,13,16,16,78126.85999999999,101246.73000000001,179373.59,0.0
3244,21,26,26,179412.15,206548.25,385960.4,0.0
3245,28,39,39,236532.20999999996,429896.7100000001,666428.92,0.0
3248,0,70,70,0.0,7020.32,7020.32,0.0
3249,21,29,29,149905.99,236166.30000000002,386072.29000000004,0.0
3252,24,28,28,198599.09999999998,207542.04,406141.14,0.0
134326,1737,970,2493,73562588.400091,48489486.640091,122052075.04018201,0.0
3254,0,42,42,0.0,13971.219999999998,13971.219999999998,0.0
3256,18,22,22,183126.63,227625.91999999998,410752.55,0.0
3258,20,24,24,205463.27,240117.1,445580.37,0.0
3260,0,65,65,0.0,9814.550000000001,9814.550000000001,0.0
3262,0,44,44,0.0,11950.720000000001,11950.720000000001,0.0
3263,17,19,19,138830.02999999997,139067.86000000002,277897.89,0.0
3264,18,21,21,106636.12,116125.49999999999,222761.62,0.0
3265,0,63,63,0.0,47348.18000000001,47348.18000000001,0.0
3266,18,25,25,177295.42999999996,212156.59,389452.01999999996,0.0
3267,18,24,24,118438.13999999998,213666.52000000002,332104.66000000003,0.0
3268,0,38,38,0.0,10749.06,10749.06,0.0
3270,0,48,48,0.0,15281.68,15281.68,0.0
3273,18,23,23,129045.28,191309.65000000005,320354.93000000005,0.0
3274,12,14,14,124075.99999999999,131831.21,255907.20999999996,0.0
3276,16,24,24,71823.54000000001,140872.7,212696.24000000002,0.0
3278,15,15,15,137929.75,137929.75,275859.5,0.0
3280,16,21,21,132730.74,143291.34,276022.07999999996,0.0
3285,0,50,50,0.0,16440.059999999998,16440.059999999998,0.0
3288,12,18,18,120702.53,131561.25999999998,252263.78999999998,0.0
3290,10,17,17,110519.64,168034.4,278554.04,0.0
3295,16,18,18,98022.48999999999,108543.26999999999,206565.75999999998,0.0
3296,15,16,16,63908.33999999999,94341.59,158249.93,0.0
3297,17,21,21,222232.34000000003,236758.13,458990.47000000003,0.0
265440,151,28,157,17936738.87,17293788.189999998,35230527.06,0.0
3300,0,40,40,0.0,11669.18,11669.18,0.0
3301,0,58,58,0.0,7892.119999999999,7892.119999999999,0.0
3302,0,60,60,0.0,18353.219999999998,18353.219999999998,0.0
3304,0,52,52,0.0,17324.28,17324.28,0.0
3306,0,53,53,0.0,18935.729999999996,18935.729999999996,0.0
3307,14,16,16,101622.15000000002,115612.04000000001,217234.19000000003,0.0
3310,21,32,32,147864.93,265846.5,413711.43,0.0
3311,19,22,22,101536.09999999999,129487.39,231023.49,0.0
3312,21,26,26,171574.03000000003,201776.81,373350.84,0.0
3313,0,54,54,0.0,15431.78,15431.78,0.0
3314,0,62,62,0.0,8153.34,8153.34,0.0
3319,22,25,25,218649.17,232186.12000000002,450835.29000000004,0.0
3320,0,72,72,0.0,6825.42,6825.42,0.0
3323,0,63,63,0.0,6237.89,6237.89,0.0
3324,0,70,70,0.0,19618.940000000002,19618.940000000002,0.0
3325,0,54,54,0.0,4904.16,4904.16,0.0
3327,15,19,19,92145.28000000001,119038.53000000001,211183.81000000003,0.0
3328,0,64,64,0.0,97938.07,97938.07,0.0
3330,0,52,52,0.0,5620.3,5620.3,0.0
3332,0,36,36,0.0,6014.34,6014.34,0.0
3337,0,54,54,0.0,15533.440000000002,15533.440000000002,0.0
3339,14,17,17,146727.54,152618.51,299346.05000000005,0.0
3340,13,14,14,86952.23999999999,103263.85999999999,190216.09999999998,0.0
3342,0,30,30,0.0,4002.8999999999996,4002.8999999999996,0.0
3343,19,21,21,229018.05000000002,230621.28,459639.33,0.0
3345,17,20,20,121797.12999999999,177297.03,299094.16,0.0
3348,14,15,15,167182.27,169003.78999999998,336186.05999999994,0.0
3353,0,50,50,0.0,5280.400000000001,5280.400000000001,0.0
3356,0,65,65,0.0,49266.13,49266.13,0.0
3358,0,50,50,0.0,33929.65,33929.65,0.0
3359,0,42,42,0.0,14885.900000000001,14885.900000000001,0.0
3363,12,16,16,113260.27000000002,179318.06,292578.33,0.0
3364,0,38,38,0.0,12699.400000000001,12699.400000000001,0.0
3365,15,19,19,82592.49000000002,95715.14000000001,178307.63000000003,0.0
3366,9,15,15,64549.36,91557.68000000001,156107.04,0.0
3367,0,60,60,0.0,50051.07,50051.07,0.0
3368,17,18,18,128995.35,130193.06,259188.41,0.0
3369,0,54,54,0.0,20236.600000000006,20236.600000000006,0.0
3370,17,18,18,235525.92999999996,236160.01000000004,471685.94,0.0
3371,2,56,56,1033.96,20308.2,21342.16,0.0
3372,0,45,45,0.0,5802.469999999998,5802.469999999998,0.0
3374,14,15,15,50116.92999999999,82207.09,132324.02,0.0
3375,0,38,38,0.0,11355.460000000001,11355.460000000001,0.0
3377,0,51,51,0.0,6438.960000000001,6438.960000000001,0.0
3380,0,50,50,0.0,19641.780000000002,19641.780000000002,0.0
3381,21,31,31,169817.31,264379.86,434197.17,0.0
3386,0,52,52,0.0,17374.6,17374.6,0.0
3388,0,40,40,0.0,4791.74,4791.74,0.0
3389,6946,7637,13768,2625260735.499853,5342209066.790012,7967469802.2898655,0.0005084253341080767
3394,0,66,66,0.0,121529.44,121529.44,0.0
3396,17,20,20,180193.71000000002,214457.76000000004,394651.4700000001,0.0
3399,9,10,10,111477.34,115014.37000000001,226491.71000000002,0.0
3400,15,19,19,147770.46000000002,162160.02,309930.48,0.0
3402,11,16,16,46182.34,105370.57999999999,151552.91999999998,0.0
3405,11,16,16,92500.5,103524.23999999999,196024.74,0.0
3407,0,54,54,0.0,20002.519999999997,20002.519999999997,0.0
3408,0,59,59,0.0,6429.7699999999995,6429.7699999999995,0.0
3409,0,42,42,0.0,6620.179999999999,6620.179999999999,0.0
3411,18,21,21,150070.0,163930.34,314000.33999999997,0.0
3412,0,59,59,0.0,41515.15,41515.15,0.0
3413,16,20,20,117332.42,146369.71,263702.13,0.0
3414,13,16,16,88526.92,96688.47,185215.39,0.0
3415,0,50,50,0.0,16451.94,16451.94,0.0
3417,0,60,60,0.0,45194.92,45194.92,0.0
3418,15,19,19,129783.38,169872.88,299656.26,0.0
134489,1489,517,1827,144758918.48522002,84468570.68,229227489.16522002,0.0016420361247947454
3419,0,46,46,0.0,10487.52,10487.52,0.0
3421,0,42,42,0.0,4588.86,4588.86,0.0
3422,0,61,61,0.0,49090.469999999994,49090.469999999994,0.0
3423,9,12,12,85592.69,88256.25,173848.94,0.0
3424,0,36,36,0.0,8764.359999999999,8764.359999999999,0.0
3425,0,64,64,0.0,20166.120000000003,20166.120000000003,0.0
3426,0,54,54,0.0,13543.960000000001,13543.960000000001,0.0
3429,17,21,21,131671.49,169070.50999999998,300742.0,0.0
3430,0,55,55,0.0,5643.8099999999995,5643.8099999999995,0.0
3432,18,24,24,68088.1,93693.35999999999,161781.46,0.0
3433,17,23,23,147325.11000000002,168733.69999999998,316058.81,0.0
3434,0,58,58,0.0,16323.06,16323.06,0.0
3435,16,18,18,89880.16,102915.32,192795.48,0.0
3437,17,22,22,130666.13,141445.41999999998,272111.55,0.0
3439,20,24,24,136741.11,160296.68,297037.79,0.0
3440,7632,8510,15166,6210151723.101933,2933523258.86,9143674981.961933,0.00026374785704866147
3441,15,19,19,148936.16,176653.99,325590.15,0.0
3442,12,13,13,138638.63,142792.34,281430.97,0.0
3443,18,22,22,133818.83,190287.17000000004,324106.0,0.0
3444,18,22,22,149664.25999999998,211987.02,361651.27999999997,0.0
3445,10,15,15,47073.229999999996,67801.21,114874.44,0.0
3448,0,60,60,0.0,5805.76,5805.76,0.0
3450,17,23,23,92161.87,133055.86000000002,225217.73,0.0
3451,0,55,55,0.0,71288.51,71288.51,0.0
3452,18,21,21,169097.03,218906.48,388003.51,0.0
3454,0,57,57,0.0,74347.82,74347.82,0.0
3456,0,42,42,0.0,10627.38,10627.38,0.0
3458,17,25,25,95244.09,159316.04,254560.13,0.0
3459,11,18,18,43683.53,119255.54000000001,162939.07,0.0
3460,9082,10866,18806,3569131564.0336246,5485227065.922787,9054358629.956411,0.000850792300329682
3461,15,22,22,132223.98,183303.67999999996,315527.66,0.0
3462,0,38,38,0.0,5129.680000000001,5129.680000000001,0.0
3463,13,16,16,65598.70999999999,82531.69,148130.4,0.0
3465,13,19,19,94394.44000000002,157216.19999999998,251610.64,0.0
3467,0,38,38,0.0,9924.84,9924.84,0.0
3468,9,13,13,48817.939999999995,79411.77999999998,128229.71999999997,0.0
3471,0,50,50,0.0,74760.77,74760.77,0.0
3472,7,10,10,75149.73000000001,81152.02,156301.75,0.0
3473,11,11,11,42266.399999999994,42266.399999999994,84532.79999999999,0.0
3475,17,22,22,161392.69999999998,177496.49000000002,338889.19,0.0
3476,18,22,22,120352.35999999999,139021.58,259373.93999999997,0.0
3477,15,19,19,92205.77,139933.76999999996,232139.53999999998,0.0
3478,9,12,12,78750.73,86400.07999999999,165150.81,0.0
3481,0,60,60,0.0,25214.800000000003,25214.800000000003,0.0
3483,14,15,15,102186.43999999997,103205.15999999999,205391.59999999998,0.0
3484,18,22,22,262731.81,281617.33,544349.14,0.0
3485,0,50,50,0.0,15810.0,15810.0,0.0
3486,15,16,16,100027.64000000001,100809.28,200836.92,0.0
3487,0,52,52,0.0,13268.400000000003,13268.400000000003,0.0
3490,0,58,58,0.0,16320.939999999999,16320.939999999999,0.0
3491,9,12,12,35929.98,41233.600000000006,77163.58000000002,0.0
3492,14,18,18,92099.19,94462.89,186562.08000000002,0.0
3500,7856,8158,15043,5846423143.364351,3437875777.5212674,9284298920.885618,0.0003323805092069401
3501,18,19,19,89600.01,91794.05999999998,181394.06999999998,0.0
3502,13,20,20,117196.97999999998,175439.87,292636.85,0.0
3503,15,19,19,112703.86,157472.56,270176.42,0.0
3505,14,18,18,59425.340000000004,111855.79999999999,171281.13999999998,0.0
3506,10,15,15,49637.99999999999,84113.95,133751.94999999998,0.0
3507,12,15,15,153728.05000000002,189923.26000000004,343651.31000000006,0.0
3509,0,52,52,0.0,14671.219999999998,14671.219999999998,0.0
3511,13,15,15,64559.149999999994,95035.75,159594.9,0.0
3512,13,18,18,91878.56999999999,145725.48,237604.05,0.0
3515,0,38,38,0.0,12858.199999999999,12858.199999999999,0.0
3518,16,17,17,111769.20999999999,112926.45,224695.65999999997,0.0
3521,9,11,11,39484.04,43937.87,83421.91,0.0
3522,0,39,39,0.0,11761.539999999999,11761.539999999999,0.0
3523,15,18,18,99006.45000000001,122944.88,221951.33000000002,0.0
3524,0,48,48,0.0,15054.380000000001,15054.380000000001,0.0
3525,12,15,15,121722.43000000002,175951.76,297674.19000000006,0.0
3526,11,16,16,50908.71,84069.68000000001,134978.39,0.0
134598,1064,332,1260,465032996.74999994,112098102.71000001,577131099.4599999,0.0015873015873015873
3528,0,44,44,0.0,14150.560000000001,14150.560000000001,0.0
3529,0,44,44,0.0,6089.599999999999,6089.599999999999,0.0
3530,0,42,42,0.0,9383.38,9383.38,0.0
3531,10,13,13,89587.13,120108.97,209696.1,0.0
3533,7634,8019,14672,30186542946.02577,30095617923.702785,60282160869.72855,0.0005452562704471102
3535,20,20,20,117475.83,117475.83,234951.66,0.0
3538,0,46,46,0.0,14420.78,14420.78,0.0
3539,10,10,10,35799.93,35799.93,71599.86,0.0
3540,16,17,17,249137.27000000002,256859.66000000003,505996.93000000005,0.0
3542,0,56,56,0.0,7499.2,7499.2,0.0
3543,13,17,17,127096.55999999997,237365.22,364461.77999999997,0.0
3545,16,21,21,78681.16,115580.48999999998,194261.64999999997,0.0
3546,0,68,68,0.0,90394.36,90394.36,0.0
3547,20,23,23,133332.77,139053.0,272385.77,0.0
3549,0,56,56,0.0,88563.4,88563.4,0.0
3552,22,26,26,139079.28,172897.71999999997,311977.0,0.0
3553,18,19,19,170568.34000000003,172442.73,343011.07000000007,0.0
3554,0,65,65,0.0,102396.92,102396.92,0.0
3556,15,18,18,68861.83,85541.23999999999,154403.07,0.0
3558,9,14,14,51669.920000000006,61864.72000000001,113534.64000000001,0.0
3559,14,16,16,63184.92999999999,80113.2,143298.13,0.0
3560,0,50,50,0.0,82373.13,82373.13,0.0
3561,14,19,19,119036.26000000001,134570.52,253606.78,0.0
3564,13,16,16,50252.81,62163.88,112416.69,0.0
3566,0,32,32,0.0,9427.619999999999,9427.619999999999,0.0
3568,10,14,14,60820.380000000005,86152.95,146973.33000000002,0.0
134640,910,307,1089,319555604.58000004,20283985.52,339839590.1,0.0
3571,17,21,21,60836.45999999999,68417.33,129253.79,0.0
3574,0,42,42,0.0,11883.72,11883.72,0.0
3575,19,21,21,160256.55000000002,177255.93,337512.48,0.0
3576,0,46,46,0.0,4951.700000000001,4951.700000000001,0.0
3577,13,14,14,46693.12,47043.48,93736.6,0.0
3579,14,17,17,74042.40000000001,98183.9,172226.3,0.0
3581,18,19,19,81826.12,84387.15,166213.27,0.0
265726,385,65,414,20357389.749999996,15289987.890000002,35647377.64,0.0
3583,12,14,14,100758.7,124920.18999999999,225678.88999999998,0.0
3585,0,54,54,0.0,16260.17,16260.17,0.0
